  0%|          | 0/10 [00:00<?, ?it/s] 10%|█         | 1/10 [00:01<00:13,  1.46s/it] 20%|██        | 2/10 [00:02<00:10,  1.36s/it] 30%|███       | 3/10 [00:03<00:09,  1.30s/it] 40%|████      | 4/10 [00:05<00:07,  1.28s/it] 50%|█████     | 5/10 [00:06<00:06,  1.28s/it] 60%|██████    | 6/10 [00:07<00:05,  1.28s/it] 70%|███████   | 7/10 [00:08<00:03,  1.26s/it] 80%|████████  | 8/10 [00:09<00:02,  1.25s/it] 90%|█████████ | 9/10 [00:11<00:01,  1.24s/it]100%|██████████| 10/10 [00:12<00:00,  1.23s/it]
  0%|          | 0/25 [00:00<?, ?it/s]  4%|▍         | 1/25 [00:37<14:57, 37.39s/it]  8%|▊         | 2/25 [01:03<12:12, 31.87s/it] 12%|█▏        | 3/25 [02:12<16:10, 44.11s/it] 16%|█▌        | 4/25 [03:04<16:08, 46.12s/it] 20%|██        | 5/25 [03:14<12:59, 38.98s/it] 24%|██▍       | 6/25 [03:34<11:19, 35.78s/it] 28%|██▊       | 7/25 [04:09<10:40, 35.58s/it] 32%|███▏      | 8/25 [04:36<09:47, 34.55s/it] 36%|███▌      | 9/25 [04:58<08:49, 33.12s/it] 40%|████      | 10/25 [05:21<08:02, 32.19s/it] 44%|████▍     | 11/25 [06:10<07:51, 33.65s/it] 48%|████▊     | 12/25 [06:22<06:53, 31.84s/it] 52%|█████▏    | 13/25 [06:33<06:03, 30.28s/it] 56%|█████▌    | 14/25 [06:46<05:19, 29.05s/it] 60%|██████    | 15/25 [07:00<04:40, 28.01s/it] 64%|██████▍   | 16/25 [07:22<04:09, 27.68s/it] 68%|██████▊   | 17/25 [07:41<03:36, 27.12s/it] 72%|███████▏  | 18/25 [08:04<03:08, 26.89s/it] 76%|███████▌  | 19/25 [08:29<02:40, 26.83s/it] 80%|████████  | 20/25 [08:42<02:10, 26.14s/it] 84%|████████▍ | 21/25 [08:57<01:42, 25.62s/it] 88%|████████▊ | 22/25 [09:12<01:15, 25.09s/it] 92%|█████████▏| 23/25 [09:25<00:49, 24.60s/it] 96%|█████████▌| 24/25 [09:40<00:24, 24.18s/it]100%|██████████| 25/25 [09:56<00:00, 23.85s/it]
['hour', 'timestamp', 'ip-app-device-os_count', 'ip-app-device-channel_count', 'ip-app-os-channel_count', 'ip-device-os-channel_count', 'app-device-os-channel_count', 'ip-app-device_count', 'ip-app-os_count', 'ip-app-channel_count', 'ip-device-os_count', 'ip-device-channel_count', 'ip-os-channel_count', 'app-device-os_count', 'app-device-channel_count', 'app-os-channel_count', 'device-os-channel_count', 'ip-app_count', 'ip-device_count', 'ip-os_count', 'ip-channel_count', 'app-device_count', 'app-os_count', 'app-channel_count', 'device-os_count', 'device-channel_count', 'os-channel_count']
[07:59:05] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[07:59:19] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[07:59:33] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[07:59:48] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[08:00:03] Tree method is selected to be 'hist', which uses a single updater grow_fast_histmaker.
[0]	train-auc:0.923836+0.000724753	test-auc:0.923783+0.0029733
[5]	train-auc:0.925191+0.000741071	test-auc:0.925152+0.00292108
[10]	train-auc:0.92554+0.000741754	test-auc:0.925513+0.00291062
[15]	train-auc:0.926816+0.00150331	test-auc:0.926773+0.00362756
[20]	train-auc:0.92983+0.000975353	test-auc:0.929729+0.00257902
[25]	train-auc:0.930822+0.000933559	test-auc:0.930713+0.00275933
[30]	train-auc:0.940485+0.00682113	test-auc:0.940298+0.00588647
[35]	train-auc:0.946364+0.000452467	test-auc:0.94633+0.00239924
[40]	train-auc:0.949862+0.00190828	test-auc:0.949752+0.00190042
[45]	train-auc:0.951333+0.000945328	test-auc:0.951088+0.00208867
[50]	train-auc:0.954367+0.00143899	test-auc:0.95425+0.00270406
[55]	train-auc:0.955846+0.00158871	test-auc:0.955611+0.00213316
[60]	train-auc:0.957976+0.000590933	test-auc:0.957697+0.00197109
[65]	train-auc:0.961071+0.000647642	test-auc:0.96079+0.00238477
[70]	train-auc:0.963097+0.000280479	test-auc:0.96276+0.00219142
[75]	train-auc:0.964788+0.000653986	test-auc:0.964291+0.00179192
[80]	train-auc:0.965873+0.000502215	test-auc:0.965316+0.00165202
[85]	train-auc:0.966649+0.000519319	test-auc:0.965971+0.00140758
[90]	train-auc:0.967321+0.000427513	test-auc:0.966692+0.00134258
[95]	train-auc:0.967905+0.000327763	test-auc:0.967146+0.00141746
[100]	train-auc:0.968462+0.000202427	test-auc:0.967597+0.00151951
[105]	train-auc:0.968889+0.000232961	test-auc:0.967985+0.00141945
[110]	train-auc:0.969186+0.000237603	test-auc:0.968243+0.00137493
[115]	train-auc:0.9695+0.000239482	test-auc:0.968503+0.00142445
[120]	train-auc:0.969795+0.000205727	test-auc:0.968822+0.00136643
[125]	train-auc:0.970122+0.000184502	test-auc:0.969125+0.00140757
[130]	train-auc:0.970428+0.000187209	test-auc:0.969386+0.00142823
[135]	train-auc:0.970778+0.000252949	test-auc:0.969635+0.00138583
[140]	train-auc:0.971039+0.00024892	test-auc:0.969849+0.0014074
[145]	train-auc:0.971278+0.000211305	test-auc:0.97003+0.00137905
[150]	train-auc:0.971598+0.000184525	test-auc:0.970294+0.00135651
[155]	train-auc:0.971803+0.000148134	test-auc:0.970487+0.00137645
[160]	train-auc:0.972079+0.000210234	test-auc:0.970691+0.00135532
[165]	train-auc:0.972287+0.000186274	test-auc:0.970865+0.00135158
[170]	train-auc:0.972526+0.000203274	test-auc:0.971044+0.00137602
[175]	train-auc:0.972735+0.000238645	test-auc:0.971212+0.00133812
[180]	train-auc:0.97291+0.000195704	test-auc:0.971348+0.00138011
[185]	train-auc:0.973104+0.000155484	test-auc:0.971501+0.00139917
[190]	train-auc:0.973236+0.000138417	test-auc:0.971608+0.00141766
[195]	train-auc:0.973416+0.000144758	test-auc:0.971763+0.00141037
[200]	train-auc:0.9736+0.000199229	test-auc:0.971874+0.00134987
[205]	train-auc:0.973767+0.000242022	test-auc:0.972006+0.00133352
[210]	train-auc:0.973937+0.000239805	test-auc:0.972096+0.0013243
[215]	train-auc:0.974047+0.000234369	test-auc:0.97216+0.00130983
[220]	train-auc:0.974172+0.000203112	test-auc:0.972223+0.00131259
[225]	train-auc:0.974318+0.000230953	test-auc:0.972317+0.00129132
[230]	train-auc:0.974446+0.000231387	test-auc:0.97241+0.00127087
[235]	train-auc:0.974559+0.00021151	test-auc:0.972469+0.00131827
[240]	train-auc:0.974674+0.000195777	test-auc:0.972537+0.00132678
[245]	train-auc:0.974771+0.000204893	test-auc:0.972607+0.00129343
[250]	train-auc:0.974887+0.000221477	test-auc:0.972657+0.00128724
[255]	train-auc:0.974985+0.000237423	test-auc:0.97269+0.00127567
[260]	train-auc:0.975094+0.000253151	test-auc:0.972781+0.00126334
[265]	train-auc:0.975195+0.000227322	test-auc:0.972842+0.00125832
[270]	train-auc:0.975296+0.000213741	test-auc:0.972904+0.00130927
[275]	train-auc:0.975394+0.000237307	test-auc:0.972954+0.0012965
[280]	train-auc:0.975509+0.000241994	test-auc:0.973013+0.00129316
[285]	train-auc:0.975613+0.000228532	test-auc:0.973094+0.0012775
[290]	train-auc:0.975708+0.000217298	test-auc:0.973165+0.0012888
[295]	train-auc:0.975807+0.000213094	test-auc:0.973192+0.00128674
[300]	train-auc:0.975882+0.000189433	test-auc:0.973198+0.00130074
[305]	train-auc:0.975963+0.000198243	test-auc:0.973228+0.00131329
[310]	train-auc:0.976053+0.000214005	test-auc:0.973268+0.00132183
[315]	train-auc:0.976144+0.000217708	test-auc:0.973297+0.00131971
[320]	train-auc:0.976237+0.000218709	test-auc:0.973338+0.00130773
[325]	train-auc:0.976329+0.000212969	test-auc:0.973368+0.00130037
[330]	train-auc:0.976394+0.000187691	test-auc:0.973386+0.00131261
[335]	train-auc:0.976463+0.000175675	test-auc:0.973413+0.0013178
[340]	train-auc:0.97653+0.000178235	test-auc:0.973433+0.00129079
[345]	train-auc:0.976589+0.000169212	test-auc:0.973445+0.00128987
[350]	train-auc:0.976654+0.00017631	test-auc:0.973479+0.001278
[355]	train-auc:0.976729+0.000185775	test-auc:0.973527+0.00128292
[360]	train-auc:0.976786+0.000172911	test-auc:0.973562+0.00128236
[365]	train-auc:0.976851+0.000181389	test-auc:0.973583+0.00128177
[370]	train-auc:0.976935+0.000185857	test-auc:0.973631+0.00125925
[375]	train-auc:0.976995+0.000176835	test-auc:0.973647+0.00126446
[380]	train-auc:0.977043+0.000160958	test-auc:0.973682+0.0012717
[385]	train-auc:0.977096+0.000165689	test-auc:0.973688+0.00126181
[390]	train-auc:0.977171+0.000170508	test-auc:0.973712+0.00125893
[395]	train-auc:0.977223+0.000160444	test-auc:0.973723+0.00123865
[400]	train-auc:0.977286+0.000151764	test-auc:0.973735+0.00123297
[405]	train-auc:0.977349+0.000157747	test-auc:0.973753+0.00123992
[410]	train-auc:0.977418+0.000171184	test-auc:0.973781+0.00121621
[415]	train-auc:0.977494+0.000163202	test-auc:0.973822+0.00121655
[420]	train-auc:0.977553+0.000166919	test-auc:0.973847+0.00120622
[425]	train-auc:0.977616+0.000156014	test-auc:0.973868+0.00121086
[430]	train-auc:0.977671+0.000155439	test-auc:0.973875+0.00120075
[435]	train-auc:0.977747+0.000143609	test-auc:0.973887+0.00121913
[440]	train-auc:0.977801+0.000142504	test-auc:0.973902+0.00122608
[445]	train-auc:0.977861+0.000122675	test-auc:0.973919+0.00122785
[450]	train-auc:0.977917+0.000129797	test-auc:0.973937+0.0012178
[455]	train-auc:0.977978+0.000107921	test-auc:0.973946+0.00121061
[460]	train-auc:0.978035+0.000110478	test-auc:0.973973+0.00121126
[465]	train-auc:0.978068+0.000110217	test-auc:0.973979+0.00120573
[470]	train-auc:0.978125+0.000116399	test-auc:0.974004+0.00120357
[475]	train-auc:0.978171+0.000107905	test-auc:0.974008+0.00120843
[480]	train-auc:0.978227+0.000106709	test-auc:0.974036+0.00119529
[485]	train-auc:0.978282+0.000111059	test-auc:0.974053+0.00119372
[490]	train-auc:0.978325+0.000107983	test-auc:0.974053+0.00119277
[495]	train-auc:0.978369+0.000116915	test-auc:0.974079+0.00118435
[500]	train-auc:0.978419+0.000114094	test-auc:0.9741+0.00118264
[505]	train-auc:0.97847+0.000111537	test-auc:0.974127+0.0011893
[510]	train-auc:0.978522+0.000106944	test-auc:0.974115+0.00119724
[515]	train-auc:0.978561+0.000107552	test-auc:0.97412+0.00119674
[520]	train-auc:0.978615+0.00011121	test-auc:0.974135+0.00118107
[525]	train-auc:0.978661+0.000111054	test-auc:0.974158+0.00117177
[530]	train-auc:0.978704+0.000103215	test-auc:0.974172+0.00116388
[535]	train-auc:0.978744+0.000103664	test-auc:0.974194+0.00116286
[540]	train-auc:0.978804+9.81929e-05	test-auc:0.974213+0.00115101
[545]	train-auc:0.978848+9.75451e-05	test-auc:0.974227+0.00113433
[550]	train-auc:0.978892+0.000109514	test-auc:0.974238+0.00113182
[555]	train-auc:0.97894+0.000119409	test-auc:0.974238+0.00111989
[560]	train-auc:0.978995+0.000118056	test-auc:0.974258+0.0011178
[565]	train-auc:0.979035+0.000115546	test-auc:0.974285+0.00110831
[570]	train-auc:0.979078+0.000107815	test-auc:0.974283+0.001106
[575]	train-auc:0.979122+0.000103656	test-auc:0.974297+0.00111578
[580]	train-auc:0.979168+9.4105e-05	test-auc:0.974298+0.00112696
[585]	train-auc:0.97921+9.10683e-05	test-auc:0.974298+0.00111652
[590]	train-auc:0.979251+9.37392e-05	test-auc:0.974314+0.00111235
[595]	train-auc:0.979304+9.25129e-05	test-auc:0.974316+0.00111419
[600]	train-auc:0.979354+9.66263e-05	test-auc:0.974328+0.00108907
[605]	train-auc:0.979393+9.90321e-05	test-auc:0.97434+0.00108502
[610]	train-auc:0.979424+9.89659e-05	test-auc:0.974344+0.00109233
[615]	train-auc:0.979469+0.000108404	test-auc:0.974352+0.00107361
[620]	train-auc:0.979507+0.000107884	test-auc:0.974355+0.00106215
[625]	train-auc:0.979556+0.000138902	test-auc:0.97437+0.00106148
[630]	train-auc:0.979589+0.000136251	test-auc:0.974375+0.00105671
[635]	train-auc:0.979623+0.000134368	test-auc:0.974377+0.00105176
[640]	train-auc:0.97967+0.000135413	test-auc:0.974386+0.00104638
[645]	train-auc:0.97972+0.000135687	test-auc:0.974389+0.00103667
[650]	train-auc:0.979762+0.000130019	test-auc:0.974387+0.00104183
[655]	train-auc:0.979807+0.000137657	test-auc:0.974389+0.00102429
[660]	train-auc:0.979856+0.000129913	test-auc:0.974408+0.00102558
[665]	train-auc:0.979904+0.000132942	test-auc:0.974411+0.00102431
[670]	train-auc:0.979951+0.000128358	test-auc:0.974411+0.00103567
[675]	train-auc:0.979993+0.000131711	test-auc:0.974389+0.00101005
[680]	train-auc:0.980037+0.000139171	test-auc:0.974386+0.00102385
[685]	train-auc:0.980079+0.000159086	test-auc:0.974398+0.00103179
[690]	train-auc:0.980112+0.000165121	test-auc:0.9744+0.00102112
[695]	train-auc:0.980146+0.000169091	test-auc:0.974402+0.00102714
[700]	train-auc:0.980188+0.00017866	test-auc:0.974399+0.00105273
[705]	train-auc:0.980227+0.000187873	test-auc:0.974382+0.00105137
[710]	train-auc:0.98027+0.000191175	test-auc:0.974376+0.00104606
[715]	train-auc:0.980314+0.000192078	test-auc:0.974373+0.00105248
